name,address,city,state,zip_code,country,region,phone,email,website,status,notes
BAMF Comics & Collectibles,500 E Horatio Ave STE 3,Maitland,FL,32751,USA,Southeast,,,,Closed,Yelp shows permanently closed - later became Blackbird Comics & Coffeehouse
Docking Bay 94 Comics,1823 North Orange Avenue,Orlando,FL,32804,USA,Southeast,,,,Closed,WRONG LOCATION - actual Docking Bay 94 is in Coconut Creek FL (7710 NW 56th Way)
Coliseum of Comics,121 S Kentucky Ave,Lakeland,FL,33801,USA,Southeast,(863) 686-1350,lakeland@coliseumofcomics.com,coliseumofcomics.com,Open,Downtown Lakeland location - see also 1517 Bartow Rd location
Gods and Monsters,5421 International Drive,Orlando,FL,32819,USA,Southeast,(407) 270-6273,info@godmonsters.com,godmonsters.com,Open,MOVED from 5250 International Dr (Artegon mall closed)
Coliseum of Comics Orlando,4672 Millenia Plaza Way,Orlando,FL,32839,USA,Southeast,(407) 363-7676,millenia@coliseumofcomics.com,coliseumofcomics.com,Open,Corrected address from 4722 S Orange Blossom Trail
A Comic Shop,114 S Semoran Blvd #6,Winter Park,FL,32792,USA,Southeast,(407) 332-9636,,,Closed,Yelp shows permanently closed - had speakeasy bar The Geek Easy
Coliseum of Comics,4303 E Colonial Dr,Orlando,FL,32803,USA,Southeast,(407) 228-1210,fashionsquare@coliseumofcomics.com,coliseumofcomics.com,Open,Updated address from 3201 E Colonial Drive (Fashion Square Mall)
Living Dead Comics,3227 Curry Ford Rd,Orlando,FL,32806,USA,Southeast,(407) 896-3323,livingdeadcomics@yahoo.com,livingdeadcomics.com,Open,Facebook active
Hudsons Comics,200 S Semoran Blvd,Orlando,FL,32807,USA,Southeast,,,,Unknown,Not verified - no business info found
Coliseum of Comics Kissimmee,2511 Old Vineland Rd,Kissimmee,FL,34746,USA,Southeast,(407) 870-5322,kissimmee@coliseumofcomics.com,coliseumofcomics.com,Open,MOVED from 22 Broadway Ave
Downtown Comics,222 W Central Ave,Winter Haven,FL,33880,USA,Southeast,,,,Unknown,Historical references found - possibly absorbed by Coliseum of Comics chain
Epic Comics,570 N Alafaya Trail Suite 106,Orlando,FL,32828,USA,Southeast,(407) 730-3742,epic.comics.orlando0@gmail.com,epiccomicsonline.com,Open,Added suite number
The Infinite Mushroom Comic & Game Shop,3550 South Washington Avenue Suite 29,Titusville,FL,32780,USA,Southeast,(321) 567-4893,rschreiber1@cfl.rr.com,infinitemushroom.com,Open,Full name restored - added suite number
Viera Comics,7640 N Wickham Rd #108,Melbourne,FL,32940,USA,Southeast,(321) 600-4567,,vieracomics.com,Closed,Yelp shows permanently closed
Famous Faces & Funnies,3540 W New Haven Ave,Melbourne,FL,32904,USA,Southeast,(321) 259-3575,fffcomics@gmail.com,famousfacesandfunnies.com,Open,MOVED from 3020 W New Haven Ave - city corrected to Melbourne
Davincis Dreamworks,835 17th St #102,Vero Beach,FL,32960,USA,Southeast,,,,Unknown,Not verified - no business info found
Shamrock Comics,3057 Tamiami Trail Unit B,Port Charlotte,FL,33952,USA,Southeast,(941) 626-7387,,shamrockcomics.com,Closed,Yelp shows permanently closed
Cool Comics and Games,231 Del Prado Blvd S #3,Cape Coral,FL,33990,USA,Southeast,,,,Unknown,Needs verification
